"filename", "language", "JSON", "XML", "C++", "YAML", "Groovy", "Dart", "Properties", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/game/game_bloc.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 15, 87
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/game/game_event.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 12, 51
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/game/game_state.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 8, 24
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/user/user_bloc.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 18, 152
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/user/user_event.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 14, 58
"/Users/kazimierzradzik/Desktop/drawtask/lib/blocs/user/user_state.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/config.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 6, 20
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/drawing/controller.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 4, 27
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/drawing/sketcher.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 14, 79
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/duration/duration_transformer.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 8, 41
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/error_handling.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/global_variables.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/router/route_constants.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 8, 32
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/router/router.dart", "Dart", 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 11, 11, 235
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/router/stream_bloc.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 6, 24
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/utils/textFormFieldDecoration.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/kazimierzradzik/Desktop/drawtask/lib/config/utils/theme.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/kazimierzradzik/Desktop/drawtask/lib/cubits/cubits.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/kazimierzradzik/Desktop/drawtask/lib/cubits/theme/theme_cubit.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/kazimierzradzik/Desktop/drawtask/lib/cubits/theme/theme_state.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/kazimierzradzik/Desktop/drawtask/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 6, 90
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/drawings.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 9, 48
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/game.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 74
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/models.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/picture.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 10, 58
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/sketch.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/user.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 8, 83
"/Users/kazimierzradzik/Desktop/drawtask/lib/models/vote.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"/Users/kazimierzradzik/Desktop/drawtask/lib/repositories/auth_repository.dart", "Dart", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 7, 16, 233
"/Users/kazimierzradzik/Desktop/drawtask/lib/repositories/drawings_repository.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
"/Users/kazimierzradzik/Desktop/drawtask/lib/repositories/repositories.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/kazimierzradzik/Desktop/drawtask/lib/repositories/user_repository.dart", "Dart", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 2, 9, 213
"/Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_screen.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 7, 64
"/Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/auth_tab.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 7, 124
"/Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/create_tab.dart", "Dart", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 9, 146
"/Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/sign_in.dart", "Dart", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 7, 148
"/Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/sign_up.dart", "Dart", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 6, 163
